ID,Category,Feature,Description,Example vendors,Why this is differentiating,Source URL,Primary user role,UI surface,Data entities,Integration touchpoints,Frappe coverage,Closest Frappe modules,Build approach,Suggested DocTypes,Non-functional notes,Security/Compliance notes,Dependencies,Acceptance criteria,Priority,Waterfall phase,Est. effort (dev-days),Complexity,QA focus,Owner team
PIM-0001,Activation: Channel syndication & endpoint registry,Channel adapter for Amazon Vendor Central (1P),"Provide a configurable adapter that maps internal product model to Amazon Vendor Central (1P) requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://www.salsify.com/pxm-network/syndication-network,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Amazon Vendor Central (1P),Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Amazon Vendor Central (1P) rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0002,Activation: Channel syndication & endpoint registry,Channel adapter for Amazon Seller Central (3P),"Provide a configurable adapter that maps internal product model to Amazon Seller Central (3P) requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://www.salsify.com/pxm-network/syndication-network,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Amazon Seller Central (3P),Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Amazon Seller Central (3P) rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0003,Activation: Channel syndication & endpoint registry,Channel adapter for Walmart Marketplace,"Provide a configurable adapter that maps internal product model to Walmart Marketplace requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Walmart Marketplace,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Walmart Marketplace rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0004,Activation: Channel syndication & endpoint registry,Channel adapter for Target Plus,"Provide a configurable adapter that maps internal product model to Target Plus requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Target Plus,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Target Plus rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0005,Activation: Channel syndication & endpoint registry,Channel adapter for Google Merchant Center,"Provide a configurable adapter that maps internal product model to Google Merchant Center requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Google Merchant Center,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Google Merchant Center rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0006,Activation: Channel syndication & endpoint registry,Channel adapter for Meta Commerce (Facebook/Instagram),"Provide a configurable adapter that maps internal product model to Meta Commerce (Facebook/Instagram) requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Meta Commerce (Facebook/Instagram),Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Meta Commerce (Facebook/Instagram) rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0007,Activation: Channel syndication & endpoint registry,Channel adapter for TikTok Shop,"Provide a configurable adapter that maps internal product model to TikTok Shop requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",TikTok Shop,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against TikTok Shop rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0008,Activation: Channel syndication & endpoint registry,Channel adapter for eBay,"Provide a configurable adapter that maps internal product model to eBay requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",eBay,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against eBay rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0009,Activation: Channel syndication & endpoint registry,Channel adapter for Etsy,"Provide a configurable adapter that maps internal product model to Etsy requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Etsy,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Etsy rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
PIM-0010,Activation: Channel syndication & endpoint registry,Channel adapter for Hepsiburada,"Provide a configurable adapter that maps internal product model to Hepsiburada requirements (attributes, allowed values, media constraints), generates channel-ready payloads, and supports scheduled publish as well as on-demand push.",Salsify; Syndigo; PIMworks; Icecat (varies by endpoint),"Channel-specific packaging of content with validations, mapping, and automated delivery is a key differentiator vs basic 'export'.",https://syndigo.com/product-information-management/,Activation Manager; eCommerce Ops; Integration Engineer,Admin UI + Background Jobs + API,"Channel, Channel Spec, Attribute Mapping, Media Rule, Publish Job, Publish Log",Hepsiburada,Tamamen yok,Frappe DocType + Workflow + REST API (custom),New Frappe app,"Channel, ChannelSpec, ChannelMapping, PublishJob, PublishLog","Must support incremental publish, retries, idempotency, and rate-limit handling per endpoint.",Store endpoint credentials in encrypted secrets store; per-channel permission scopes.,,Admin can configure mappings; system validates against Hepsiburada rules; publish job produces a payload and records success/failure with actionable errors.,Must,Build,7,L,Integration + E2E,Backend + Integrations
